단어,빈도
장례식,172
무시,172
자동차,172
단백질,172
나오니까,171
들어가면,171
마블,171
글쎄,171
줬는데,171
에너지,171
사료,171
과자,171
겁니다,170
빠져,170
단어,170
사람과,170
아시,170
나서는,170
이모,170
면서,169
올라가는,169
대체,169
모르게,168
적응,168
사회생활,168
배려,168
만나면,168
들긴,167
대학원,167
사촌,167
들어와서,167
계열,167
눈썹,167
걸려,167
만족,167
농구,167
모델,167
무대,166
봅니다,166
배운,166
고구마,166
모르니까,166
지하철,166
입양,166
하면서도,166
앵무새,166
였나,165
시켜서,165
받았던,165
배추,165
쓰기,164
하시는데,164
키우면서,164
사다,164
정해져,164
보람,164
보호,164
샀던,164
존재,163
연결,163
보셨나요,163
마인드,163
박스,163
맞춰,163
놀이,162
둘이서,162
마치,162
포함,162
개봉,162
입학,162
소통,162
채널,162
듯이,162
였어요,162
붙어,162
기존,162
갔더니,162
희망,161
봤지,161
들으면,161
반품,161
적게,160
이까,160
감사합니다,160
카톡,160
기름,160
관광,160
올려,160
지피,160
키트,160
촬영,160
세탁기,160
피티,159
교회,159
줘도,159
한다거나,159
바닷가,159
봤으면,159
주거,159
예방,159
짜리,159
가다가,159
모르지만,159
개선,159
이러는,159
자는,159
인도,159
집값,159
않다,158
떨어져,158
매우,158
줬던,158
원인,158
교통,158
주가,158
해야겠다,158
키우게,158
혜택,158
맞다고,157
수입,157
구체,157
대답,157
가입,156
책임감,156
오시,156
가능성,156
통장,156
흰색,156
먼지,156
증상,156
여기는,156
않습니다,156
놓으면,156
담당,155
느껴,155
전자,155
단지,155
사게,155
아르,154
티티,154
본가,154
걸린,154
프랜차이즈,154
효율,154
하지는,153
점도,153
생겨,153
떨어지는,153
들면서,153
봤자,153
물품,153
계약,153
였고,153
키운,153
올리브영,153
선크림,153
의자,153
이러면은,152
돌려,152
하겠지만,152
할게,152
살아가는,152
되거든,152
나을,152
저축,152
손해,152
수원,152
사교육,152
종종,151
오지,151
지구,151
추구,151
인원,151
놓는,151
주면서,151
쓰면,151
전기,151
연세,151
케이,151
토익,151
아디다스,150
불만,150
살다가,150
들어오는,150
드셔,150
가성,150
카카오,150
평가,149
기를,149
깎아,149
홍보,149
독일,149
스위스,149
되거든요,149
했다는,149
제한,149
후배,149
났는데,149
엠티,149
가전제품,149
체크,149
아이폰,149
외부,148
감성,148
낫다,148
실습,148
남고,148
대하,148
시점,148
경주,148
트로트,148
주셨는데,147
갈수록,147
연구,147
중학생,147
전시회,147
발달,146
학습,146
되어서,146
도착,146
힐링,146
들었을,146
냉동,146
가든,146
아이템,146
가라,146
버린,146
결론,146
감당,146
마늘,146
에어,146
프리랜서,146
마사지,146
인지,145
차지,145
고정,145
한쪽,145
감동,145
개는,145
구워,145
갈까,145
대한민국,145
바퀴,145
우린,145
신뢰,145
먹었어,145
관절,145
미용,145
원피스,145
아래,144
준다,144
몰랐는데,144
하네,144
들면은,144
수영장,144
맞다,144
블랙,144
바르고,144
고령화,144
했잖아요,143
납니다,143
내면,143
먹거리,143
계산,143
즐길,143
사시,143
튀김,143
했는지,143
플랫폼,143
이는,143
하시면서,143
거실,143
용품,143
내내,143
여태,142
않기,142
보거나,142
가지는,142
편이거든요,142
오라,142
그땐,142
말로,142
타입,142
사항,142
전국,142
적극,142
아메리카노,142
그리,141
쓰게,141
왔어,141
도대체,141
모르겠다,141
하겠습니다,141
농사,141
교양,140
토요일,140
국민,140
다녔던,140
임신,140
합격,140
광주,140
먹거나,140
끓여,140
리그,140
발견,140
하지만,140
소파,140
닮고,140
막내,139
인스타그램,139
따고,139
벌고,139
되지만,139
떨어지고,139
보내는,139
유도,139
않았지만,139
정돈,139
시킬,139
사과,139
현대,139
제로,139
예술,138
모시,138
나오지,138
나가면,138
나가야,138
거부,138
무게,137
시선,137
자신감,137
전쟁,137
갤럭시,137
기억나,137
대상,137
여건,137
삼겹살,137
마시는,137
계단,137
질병,137
알다시피,137
부르는,136
보세요,136
나네,136
대형,136
소화,136
장비,136
연금,136
심장,136
가이드,136
가서도,135
모여,135
했었습니다,135
직종,135
퍼스,135
자가,135
싸고,135
권사,135
학교생활,134
받았는데,134
다녔는데,134
날짜,134
걸려서,134
김밥,134
인공,134
봤더니,134
갔어,134
됐다고,134
패턴,134
배드민턴,134
하시니까,133
계좌,133
현금,133
가질,133
프로젝트,133
쉽지가,133
정상,133
여자애,133
토마토,133
오픈,133
누워,133
중독,133
자유여행,133
마이너스,132
잘해야,132
내서,132
특징,132
유산균,132
하시면,132
기초,132
소고기,132
유튜버,132
일상생활,132
연령,132
강릉,132
올리는,132
주셔서,132
돌고,132
디즈니,132
섭취,131
이웃,131
억지로,131
오이,131
갔으면,131
드시는,131
고거,131
건축,131
지나,131
기차,131
예금,131
반려견,131
착용,131
갈등,131
하우스,131
이탈리아,131
중심,130
됐든,130
맞나,130
다만,130
결제,130
온도,130
아는데,130
곳도,130
봤지만,130
앞서,130
나오더라고요,130
용기,130
산이,130
햇빛,130
호주,130
한의원,130
재능,129
진학,129
접근,129
바깥,129
잡아서,129
받으면,129
않더라고,129
플레이,129
했었잖아,129
몰래,129
도서관,129
빙수,129
데이트,129
전문가,129
맞을,129
극장,129
감소,129
근력,128
드니까,128
한계,128
부르고,128
그릇,128
외모,128
드립니다,128
무언가,128
도저히,128
당황,128
미용실,128
찾게,128
마음대로,127
걷고,127
가주,127
돈가스,127
였거든요,127
자라,127
올리고,127
어디가,126
봐야지,126
또래,126
거만,126
헤어,126
형식,126
노트북,126
특정,126
두는,126
에스티,126
했고요,126
분리,126
양식,126
맞아서,126
오피스텔,126
바꾸고,126
믿고,125
이러다,125
지난,125
화면,125
블로그,125
퇴직,125
제외,125
걸리는,125
브이,125
상사,125
속눈썹,125
지능,125
편이긴,125
연주,125
등록,124
가시,124
속이,124
보장,124
않습니까,124
단위,124
필라테스,124
찾기,123
제대,123
하시,123
들어온,123
집사람,123
사지,123
전통,123
걸리고,123
연출,123
빠지고,123
몸무게,123
부탁,123
신어,123
키우기,123
회원,122
칭찬,122
한단,122
미디어,122
만두,122
큰일,122
소위,122
올라오는,122
구해,122
자금,122
바뀌는,122
회복,122
요양,122
됐다,121
다니,121
드네,121
하냐,121
부자,121
지는,121
일요일,121
타임,121
창문,121
극복,121
존중,121
중반,121
전주,121
올라갈,121
올라가서,121
양말,121
종합,121
나왔을,121
비트코인,121
드릴,121
오후,121
됐습니다,121
멘탈,121
의료,121
음료수,121
주더,120
나네요,120
분명,120
입시,120
텔레비전,120
아내,120
사러,120
캐나다,120
휴학,120
어려울,120
영양,119
마는,119
장단점,119
풍경,119
싶네요,119
않잖아,119
김치찌개,119
레시피,119
학창,119
투어,119
