단어,빈도
뺏을,2
벗듯이,2
돌렸다라고,2
가져왔을,2
생뚱맞,2
알아가더라고요,2
살는,2
치례,2
자치구,2
불평등,2
살아지니까,2
일어났으면,2
알았더라면,2
태어났으니까,2
늘린다고,2
수면시간,2
느껴졌을,2
하다든,2
찌긴,2
끝났다면,2
나아지게,2
연제구,2
투잔,2
외각,2
차액,2
끌거나,2
높아진다,2
뽑겠다,2
떨어졌단,2
말벗,2
애비,2
알곤,2
묻히지,2
넣진,2
잡숴라,2
해놨으니까,2
얻어먹었는데,2
모셔놓고,2
조각상,2
오동도,2
건질,2
타서라도,2
쓰고서,2
날아다니고,2
전시회장,2
알아봤다가,2
흑백사진,2
벽제,2
만났지마는,2
적어주면은,2
시켜줘요,2
낫네요,2
여잔,2
미웠던,2
딸이었는데,2
쿠도,2
후면,2
엠엠에,2
완수,2
풀다운,2
낮추면은,2
빠져나가면서,2
쓰였다,2
폈을,2
충남대학교,2
끝난다는,2
했었던가,2
웃어서,2
따랐던,2
떼지,2
미니어처,2
영통,2
구름다리,2
부리기,2
쓰러졌었고,2
부르다가,2
지키세요,2
새우거나,2
나았지만,2
막히거나,2
뛰진,2
다치니까,2
밀가룬데,2
갈려니까,2
찌거나,2
굶으면은,2
교집합,2
동대문구,2
킬킬,2
여느,2
예언,2
시집갈,2
줄어들까,2
들어오기는,2
다투다가,2
없어졌기,2
테일,2
프리즘,2
웍스,2
파티룸,2
디램,2
입었지,2
들어있다고,2
갈아탔어,2
쓰길,2
기가를,2
좋아져요,2
시집가니까,2
빠졌으면,2
세셔,2
어려우면은,2
보내느냐,2
부케,2
견뎌하는,2
이루어지잖아요,2
뺐었는데,2
만다든지,2
모여야지,2
머물지,2
스윽,2
스퀴지,2
이거잖아요,2
굴러가,2
널어야,2
쌓여있,2
되는군요,2
아시겠지,2
빨아라,2
않았겠습니까,2
해더,2
날아올,2
놀으라고,2
늘었거든요,2
되시거나,2
재연,2
하시던가요,2
불었었거든요,2
늦어지면은,2
북카페,2
천왕,2
왔어라고,2
모시러,2
직분,2
제삼자,2
더없이,2
일터,2
짖는다,2
이었었어요,2
끼워주는,2
증축,2
애사,2
들르,2
냈었거든,2
움직였거든,2
봤어야,2
재더라고,2
수완,2
올려야지,2
사려고요,2
버피,2
격화되,2
폐단,2
포도청,2
주셨었잖아,2
그치지,2
모르겠어라고,2
받아들여질,2
보아서는,2
차렸으면,2
나였으면은,2
살이거든,2
일급,2
걸렸거든요,2
들어줬고,2
몰랐었고,2
친해졌는데,2
말았어야지,2
멀어진다고,2
나세요,2
멀어져야,2
합계,2
위급,2
늙었을,2
아느신,2
먹으신,2
드려야죠,2
해드리게,2
주셨음,2
살려줘,2
터지면은,2
찾았거든,2
앉았었거든,2
갔었다고,2
갖던,2
농구부,2
치카,2
가려져서,2
울었대,2
참으려고,2
나오시거든,2
뿌려지고,2
도와주거든,2
구질,2
교습,2
전의,2
지더라도,2
뽑혔는데,2
견디게,2
맞아라는,2
내려오다,2
신으세요,2
도무지,2
조련사,2
보인다거나,2
그리게,2
쿠바,2
랜선,2
구설수,2
그레타,2
거윅,2
창작품,2
뺏긴다는,2
숨기면서,2
했었는,2
불렀,2
꾸미는데,2
세거든요,2
예제,2
건드린,2
찾아다녔어요,2
내주신,2
뽑는다면,2
뱀띠,2
엠비티,2
점집,2
아르세우스,2
일복,2
맞을지도,2
올라간다면,2
이었니,2
재재,2
연예가중계,2
비인간,2
격투,2
만들어줘서,2
느껴졌,2
감금,2
레스큐,2
질문지,2
길어지는데,2
돌아가시는데,2
잃어가는,2
죽어야지,2
가지다가,2
돌아가셨기,2
바운스,2
뛰어나가고,2
낳냐,2
남자인데도,2
된다지만,2
흘러내린다고,2
묶어야,2
전학생,2
남색,2
걷어도,2
오야,2
알곡,2
잡겠다,2
와야지만,2
적어질,2
오차,2
하는지부터,2
빼거나,2
만능,2
그른,2
백암,2
의왕,2
사놓다,2
붙거든요,2
보내줘서,2
신었고,2
그드,2
꿔야,2
꿈이고요,2
꾸려고,2
덮이고,2
이어지,2
강현욱,2
천운,2
이었는가,2
들이었지,2
기다리라는,2
표고버섯,2
숙주나물,2
차반,2
들어왔잖아,2
무쳐야지,2
끓으려,2
넣지도,2
무치는,2
끓이나,2
물어봐라,2
끓이실,2
슈퍼카,2
포르투칼,2
올리고당,2
되잖어,2
찾아봄,2
하는구먼,2
받는진,2
꺼려지,2
알려면,2
엘레,2
닿았어,2
않구,2
들이기,2
튀면서,2
켜야,2
돌아올래,2
부레옥잠,2
뒤로,2
밀웜,2
갖춰져서,2
가리거든요,2
잘리면,2
깨어나,2
숨겨져,2
수압,2
보셨고,2
커졌어요,2
돌아다녔던,2
괴기,2
다니는구나,2
텁텁,2
들르시는,2
섞지,2
찾아다녀요,2
떠오르잖아요,2
알아냈어요,2
마린시티,2
송정역,2
가냐도,2
남으신,2
돌거든요,2
방가,2
생기겠죠,2
비추를,2
싸거든요,2
다졌던,2
해봤었는데,2
하겠다란,2
해줄,2
드리죠,2
모카,2
특이점,2
노동량,2
로청,2
세간,2
덜어주는,2
주무시면,2
따라다닐,2
먹혀,2
불러주는,2
말이었고,2
이산,2
완등,2
들어오지가,2
끌어주는,2
쫓기지,2
뛰어넘어야,2
건드릴,2
하다라고는,2
풀어내야,2
독립심,2
살펴봤는데,2
알고요,2
떨어지잖아요,2
꿰매야,2
찢어졌던,2
쓰셨네요,2
넘었거든요,2
닮았다라는,2
하이젠베르크,2
브금,2
운전사,2
맞췄다고,2
빠져나가려고,2
기으,2
마드,2
개사,2
수여,2
뛰었어요,2
내디딜,2
맡았었습니다,2
들키는,2
배웠어서,2
숨기거나,2
남았습니다,2
알으,2
먹고살려고,2
않는다든지,2
네온사인,2
따졌더니,2
찍어야지,2
않았으니깐,2
싸니까는,2
넣냐,2
밟히는,2
뭉게뭉게,2
성큼성큼,2
다니기만,2
살이었나,2
뽐내면서,2
도와주셔서,2
놀았었거든,2
나려나,2
군수,2
백오십,2
완급,2
알기만,2
될거,2
피엘,2
뭉뚱,2
치어스,2
크립트,2
이토,2
지나서부터는,2
했다고는,2
다루려면은,2
느꼈는,2
범계,2
범계역,2
백허그,2
커플룩,2
줄거야,2
할거야,2
뛰었지,2
별세,2
먹하,2
버텨내야,2
보내던데,2
부른대,2
껴안으면서,2
거들고,2
돌아서는데,2
찾아왔던,2
쓰러졌었는데,2
마쳤습니다,2
되었느냐,2
웃는데,2
루피,2
쌓듯이,2
놓는지,2
놓으려면,2
한동훈,2
러미,2
각성제,2
사세,2
들이니까,2
빠져든,2
감춰서,2
고치면서,2
층수,2
점선,2
섀시,2
넣었구나,2
해놨잖아,2
가지려는,2
웃기려고,2
찍는다,2
나실,2
올랐을지,2
올랐지,2
깨진다고,2
훈장,2
과묵,2
초식,2
고형,2
고체,2
적든,2
집해,2
늘어야,2
평론,2
윤하,2
이뤘는데,2
오그라들,2
알고선,2
다루기도,2
보신다든지,2
특공,2
가천,2
살았었기,2
이음,2
내이,2
떠나거나,2
잔칫날,2
마씨,2
최연,2
시집가서,2
끝났다라고,2
누웠는데,2
한글날,2
버려놓고,2
되느,2
지워라고,2
망설여지,2
가리거든,2
키웠었다고,2
데리고는,2
커라,2
져야지,2
스스,2
오리탕,2
화순,2
무공,2
부직포,2
바꿨단,2
팔리잖아,2
써지는,2
샌다고,2
던질,2
바꾸라고,2
객관성,2
따르려고,2
놓였었는데,2
되어야겠다는,2
대엔,2
림프액,2
심혈관계,2
박동수,2
뇌파,2
부정행위,2
풀라,2
이미진,2
가렸던,2
졸린데,2
다녔다면,2
넘기가,2
꺾어서,2
쳤었어,2
넣어놨는데,2
켜지면,2
울려,2
풀었는데,2
누르다가,2
보내든,2
스네어,2
방기,2
쫀득하,2
코러스,2
삼기에는,2
붙여주셔,2
배웠었고,2
가르치시는,2
많아지잖아요,2
느껴진단,2
들어온다든지,2
고과,2
옛날이야기,2
디퍼,2
견디기,2
주시잖아요,2
내서는,2
신정동,2
커팅하,2
보자고요,2
보내지는,2
와주시면,2
가져갈까,2
가져가냐,2
넘게도,2
사카,2
물줄기,2
저쩌고,2
지켜가면,2
찾거든요,2
줄거든요,2
부르셔,2
했었네,2
해야겠다란,2
하신단,2
오신다,2
걷어야,2
믿지만,2
쟁반짜장,2
마니아기,2
말씀드렸지마는,2
보시진,2
양동근,2
신구,2
장삿속,2
했었다라고,2
오글거리는,2
틀어만,2
않으시나,2
꼈기,2
비췄을,2
보면는,2
이루시고,2
풀국,2
몽중헌,2
먹었나요,2
놀랐었거든요,2
남길래,2
데우면,2
해치우고,2
카우보이,2
비밥,2
핑구퐁,2
포켓몬스터,2
에반게리온,2
빌보드,2
올라와있는,2
봤었죠,2
기우,2
그리마,2
일사부재리,2
골이에,2
쫓겨날,2
올라왔던데,2
주었기,2
일어나긴,2
돌았잖아,2
자습실에,2
자습실에서,2
끼쳤어,2
만진,2
주심,2
일직선,2
치맛바람,2
주시길,2
잃어버리니까,2
늦었으니까,2
드루이드,2
객석,2
수궁가,2
많아지네요,2
지내기에,2
깨우고,2
가겠느냐,2
지내겠지,2
올라왔더라고요,2
수식,2
점자,2
넌지시,2
설지라는,2
끝내놓고,2
봐주잖아,2
줘야겠다라고,2
이었을까요,2
이루어지다,2
제멋대로,2
본심,2
만드셨어요,2
해지는데,2
주시는지,2
끝냈거든요,2
삽시간,2
승진도,2
평범,2
내렸잖아요,2
몰아가고,2
건립,2
칭호,2
특채,2
하노,2
남겨야겠다,2
잊혀질,2
한다란,2
비하랴,2
갔었으니깐,2
가까워져,2
씻지도,2
건전,2
유행병,2
산림조합,2
모아진,2
들여다보는데,2
대출받아,2
말씀드렸지만은,2
두셨는데,2
속병,2
묘소,2
향내,2
지짐,2
흘러가니까,2
치우자,2
지낼지,2
사리면,2
원기,2
끊었지,2
해오라,2
화차,2
절일,2
일렬,2
거역,2
무하,2
부러우네요,2
얼지,2
받아들이겠습니다,2
내려놓으세요,2
건졌는데,2
해드리니까,2
보려니깐,2
해드리겠습니다,2
수칙,2
맞췄을,2
삼킬,2
됐더니,2
챙기고서,2
지켰어요,2
됨에도,2
원우,2
추거나,2
금정산,2
쫄깃하,2
일어나잖아,2
처진다는,2
좋아졌잖아,2
쌓이니까는,2
쪘잖아,2
지났으니까,2
올라가도록,2
갈라면은,2
들어지는,2
돈나무,2
어금,2
반비례,2
쇠줄,2
물렸거든요,2
물렸을,2
알겠다라고,2
복일,2
플랫,2
꾸미겠다,2
찾으시나요,2
즐겨요,2
들어야지만,2
메구,2
메지도,2
만지는데,2
그립습니다,2
응당,2
맥시멀,2
착의,2
당진,2
강우,2
일굴,2
이루기에,2
생길진,2
나보,2
사라지진,2
탄지,2
나오겠네,2
챔을,2
떴으면,2
내려가신,2
내려가라고,2
품성,2
초서,2
화선지,2
매난국죽,2
채근담,2
일본말,2
안진경,2
본지는,2
와가지고,2
할라면,2
해서로,2
쓸지도,2
누르,2
계금,2
데이팅,2
한턱,2
싸웠,2
게걸,2
학교폭력,2
떴잖아요,2
아시는지는,2
주였나,2
지키는데,2
악동,2
받는가,2
지났나,2
컸는지,2
들었는,2
분이시다,2
줄어드니,2
키우다시피,2
기울고,2
세워져야,2
싸웠었거든요,2
적었으면,2
끊기거나,2
끊겼다고,2
오가며,2
잡았을,2
지내기도,2
낳지는,2
즉사,2
비춰야,2
되는가라고,2
챙겨주신,2
감사하며,2
받으셨을,2
연일,2
변액,2
갈아타면서,2
찾겠다,2
단리,2
패션쇼,2
불쾌감,2
번일,2
찌푸려지는,2
찌푸리지,2
막으면은,2
보일진,2
막혔지만,2
흩어지는,2
망설이는,2
하다만,2
보내기는,2
움직였는데,2
모여는,2
어휘,2
신칸센,2
다니시기,2
놓습니다,2
플랜비,2
망쳤다고,2
갈지를,2
많아졌는데요,2
들어가더라도,2
넣었냐,2
빼게,2
마셨더니,2
봐야되,2
넣게끔,2
닦아야지,2
삼았는데,2
가려지는,2
쓰다고,2
바라보면은,2
늙으니까,2
평가원,2
추업,2
독립성,2
자율성,2
나가있는,2
커진다라고,2
적이면서도,2
여경,2
흘렸는데,2
싶은데라고,2
건네주는,2
주우러,2
주워다가,2
던지듯이,2
늘지를,2
읽지는,2
다변,2
합체,2
불임,2
받아들여지는,2
미뤘었어요,2
닮았기,2
흥청망청,2
그만뒀어야,2
봐오다,2
국단,2
하급,2
군목,2
나뉘어지는데요,2
꾼다고,2
좋아졌거든요,2
신봉선,2
오이나,2
지나기,2
끌어내려고,2
신체검사,2
기병,2
포탄,2
케라바,2
접어놓고,2
혼났어요,2
죽었,2
줄어가서,2
엎어져,2
베풀어요,2
잔대,2
땄잖아,2
넣었나,2
살아가기에는,2
나갔음,2
혼혈,2
이하늬,2
까인,2
물어봤어도,2
놀라울,2
학굔,2
군의관,2
방독면,2
일등병,2
완장,2
난린데,2
쏘는데,2
쓰겠어,2
든대,2
소굴,2
차려주시는,2
빠지지도,2
식혔다가,2
흘리면은,2
틀거든요,2
고혈,2
이또,2
랑귀,2
반기는,2
살아왔어요,2
날렸어요,2
벌었었는데,2
가냐라고,2
어벤져,2
웃도는,2
나름이겠지만,2
떨어뜨리는,2
연료비,2
상연,2
하숙집,2
바이든,2
들다고,2
도와주겠다고,2
추울까,2
들어갔대,2
쫓아가지,2
안단,2
였었잖아,2
빼고서,2
많아진단,2
좇는,2
취득세,2
청량리,2
엘시,2
대명사,2
토목,2
부아,2
해왔기,2
따라가질,2
묶이는,2
봤겠지마는,2
들어옵니다,2
들어옴,2
채든,2
쌓여있으니까,2
무럭무럭,2
언닌데,2
아껴주고,2
보냈잖아요,2
앓았어요,2
외운다,2
잡혀있는,2
잡히거든,2
과기,2
되겠다라든지,2
그만두거나,2
망칠까,2
했니라고,2
헤어졌으면,2
추움,2
합세,2
짜진,2
놀랐었어요,2
돌아다녔었는데,2
먹여주고,2
왔으니깐,2
데려왔었어,2
들이진,2
놓을까,2
물어보더라고,2
진다고,2
알아보는지,2
보냈었거든,2
심층,2
개훌륭,2
동성애,2
오원,2
감정이입,2
싶다나,2
나오느냐,2
유테,2
넘어가면서부터,2
줄어들었더라고요,2
낮추거나,2
먹었다든지,2
엠피포,2
끊었던,2
돌려줄,2
쏘라는,2
감사하지만,2
돌아가는지에,2
끝났습니다,2
가자였는데,2
빠져나가니까,2
꿈이거든요,2
꺾이지,2
잡아줄,2
삥글삥글,2
와삭,2
참긴,2
부딪치면,2
청귤,2
즐기시나요,2
물들이기,2
경찰복,2
무반,2
추임새,2
만반,2
물어봐야겠다,2
튄다,2
일어나진,2
성범죄자,2
유흥가,2
테리,2
서래,2
벌리면서,2
샀잖아요,2
거슬릴,2
닫으면,2
찾으시면,2
빌란,2
애마,2
돌린다든지,2
치우지도,2
빨아들이,2
붙여요,2
맞춰야죠,2
되돌아오는,2
팔진,2
던전,2
빌며,2
속일,2
알아맞히는,2
아시겠나요,2
오답이,2
나올지도,2
막는다는,2
끼어들기만,2
마더,2
주야,2
부푼,2
바라서,2
넘더라고,2
커야지,2
괴롭힌다,2
받아들여지고,2
됨으로,2
겠다고,2
가졌거나,2
부딪히지,2
아릴,2
부르시면은,2
만들어줘요,2
않았었냐,2
듣겠지,2
지었잖아,2
앉았잖아,2
떴었잖아,2
뻗치고,2
수화,2
맛깔,2
앞가림,2
말초,2
끓이니까,2
가르치진,2
잡지사,2
회무,2
뚜들기고,2
이용도,2
멎는,2
싶으나,2
걸었다,2
디펜스,2
반론,2
싶더라도,2
돼야겠다라고,2
쳐다보게,2
드러나기,2
씨엔블루,2
뉴에이지,2
플라워,2
한스,2
짐머,2
불렀잖아요,2
었더,2
호숫,2
북파,2
운지,2
더듬어서,2
걷던,2
쏘인,2
침놓고,2
다쳤다,2
골드바,2
악세사리,2
의적,2
모으고자,2
발단,2
움직이거나,2
놔두게,2
벌어오고,2
없어져야지,2
음복,2
어쩌겠습,2
큰며,2
져요,2
불렀죠,2
흐르는데,2
식으로다,2
물려주지,2
간절,2
둘러보자,2
일어났어,2
접으면,2
산전수전,2
고깔,2
보셨는진,2
배우였던,2
관행,2
묵념,2
평안,2
빌어,2
본다던가,2
맡기려고,2
화이트골드,2
주신다는,2
부쳐주세요,2
가져가려는,2
줘가면서,2
차하,2
성추행,2
역무,2
밝혀진,2
싶다라든지,2
피우거나,2
뛰어내렸던,2
고르듯이,2
사실혼,2
효력,2
드리겠는데요,2
상판,2
용언,2
급선무,2
찾으려,2
어우러져야,2
주려면은,2
없애면,2
보겠는,2
기르게끔,2
치어리더,2
황소,2
나오세,2
물어보나,2
나오시지,2
탐은,2
혼내셔,2
착안,2
낙심,2
소자본,2
세워진,2
보내야지,2
만들겠다라는,2
바라지는,2
맞기를,2
태슬,2
도니,2
빗는,2
올려요,2
묶으면,2
자라나요,2
빗은,2
곤경,2
돌아가나,2
서부턴,2
펫티켓,2
헤어짐을,2
떠나지,2
뛰어가다가,2
만지,2
녹게,2
마주치면서,2
내려다보고,2
재의,2
나갈게,2
틀리긴,2
채움이라고,2
채움을,2
채움이라는,2
김소현,2
에스쿱스,2
김지용,2
발인,2
백기만,2
오글거려서,2
가줄,2
기네,2
마랑,2
뽀대,2
데령,2
웃는다,2
당겨오고,2
됨서,2
걸렸으면은,2
들어가는구나,2
해서야,2
말이었던,2
꺼려지거나,2
떠나가,2
싶어는,2
세워야지,2
다가온,2
웃기진,2
임명,2
받을게,2
싶어지면은,2
개더라고,2
외려,2
달으니까,2
양형,2
오피셜,2
김광현,2
이기다가,2
무력감,2
우쿠렐레,2
받아들인,2
망설인,2
끊기기,2
탈하게,2
하고나,2
않으셨는데,2
앉더라고,2
들어진,2
바뀌었지만,2
해오셨고,2
봉쇄,2
눈썰매장,2
찾았지,2
업혀졌던,2
구르는,2
왕묘,2
나오셨어,2
반기면서,2
따라다니지,2
뚱글뚱글,2
갓난아이,2
들처럼,2
개든,2
않으시죠,2
부리듯이,2
꾸려가는,2
동대구역,2
장어구이,2
죽전역,2
또또,2
하연,2
모르겠죠,2
두긴,2
집이긴,2
벌렸다,2
모아주는,2
달라져야,2
미끼,2
끓여만,2
백설기,2
두시는데,2
하신다니,2
잡혔을,2
임대주택,2
웹서핑,2
전기난로,2
전자파,2
춥지는,2
꺼지지,2
잃어버린다고,2
치사,2
하냐니까,2
팔았,2
맞으셨나요,2
걸리셨나요,2
나올만,2
뛰어갔던,2
벗으라고,2
가려지니까,2
끝나가고,2
대여섯,2
옮기다,2
이어가면서,2
창조성,2
판매원,2
보편성,2
만가,2
주었을,2
퐁뒤,2
설경,2
시속,2
쉽다는,2
들려주더라고요,2
달렸,2
나라더라고요,2
드린다면,2
경쟁자,2
공신,2
벙어리,2
들려주자면,2
만나자마자,2
이명박,2
부드,2
놓쳤다고,2
까먹었습니다,2
대겠더라고요,2
해오던,2
위계,2
차긴,2
정해지면은,2
원양,2
헤어지,2
세워놨어,2
즐겨찾기,2
비비안,2
사갔다가,2
하신대,2
집당,2
드셨나,2
오려나,2
사간,2
사귄다면,2
돌아서고,2
가비,2
이주하,2
해서라고,2
닮는다고,2
믿질,2
태조,2
왕건,2
효리,2
만드는구나,2
부르는구나,2
제약회사,2
붙었던,2
않으려,2
쫓고,2
고쳤을,2
어울릴지는,2
낫겠다고,2
해드,2
이스탄불,2
들어갔었어요,2
보냈었던,2
쉰다는,2
바꿔야겠다라고,2
만났거든요,2
쌍절곤,2
비플,2
시플,2
뛰어다니거나,2
까불고,2
집어던지고,2
올려준,2
외웠어,2
탑인,2
돼야겠지,2
살았단,2
땄거든요,2
반찬거리,2
난도,2
사줘라,2
털어놓,2
한다곤,2
돌상,2
보시겠어요,2
물으시면,2
싶었었거든요,2
토르,2
퀵실버,2
똥구멍,2
놓쳤어,2
부풀려진,2
서럽고,2
했겠어요,2
살아야죠,2
밀레,2
가르쳐줄,2
할거,2
쓰이진,2
쓰였거든,2
배웠었거든,2
유당,2
데운,2
교열,2
지켜봤는데,2
종업식,2
보였죠,2
줄어들잖아요,2
다슈,2
중독증,2
응애,2
러키,2
봐주니까,2
하겠대,2
늘어지잖아요,2
들어갔냐,2
바른다고,2
잤나,2
밤중,2
타고나기를,2
떨어진다든지,2
들인다,2
조이는,2
킨더,2
살몬,2
입어봐서,2
카다,2
주요한,2
정지선,2
감점,2
농락,2
땄네,2
따니까,2
넣자,2
꺾이는,2
타거든,2
꺾어야,2
배테랑,2
어겨서,2
지른,2
걸렸,2
외웠거든,2
혐한,2
라다,2
꺼내면은,2
일으켜야,2
교단,2
현자,2
내재,2
낳는다는,2
낳을까,2
갤탭,2
전권,2
주소지,2
날아오고,2
싶었다가,2
느냐도,2
크더라도,2
외사촌,2
쩔뚝쩔뚝,2
탱자나무,2
공양,2
상차반,2
먹고살았는데,2
썼죠,2
캐다가,2
나오더니,2
나오고서는,2
않았죠,2
고칠라고,2
배웠기,2
지어다,2
찍어내니,2
들지를,2
잡혔어요,2
살겠냐,2
대관람차,2
다녀왔다,2
흐리고,2
묵었었는데,2
암암리,2
돌아가셨나,2
뒀고,2
지내진,2
보내왔는데,2
왔었나,2
데려가니까,2
부른다,2
싸는데,2
혼내,2
솜털,2
데려왔던,2
돼주고,2
나가있을,2
찬가질,2
떠나가게,2
보살펴야,2
올리라고,2
긁히는,2
배후,2
옥돔,2
기네스북,2
젓번,2
돌아와라,2
싶었는데도,2
내리질,2
가라앉아,2
벗으라,2
끌려가듯이,2
앞장서,2
육거리,2
번성,2
했냐에,2
바라봐야,2
합니다라고,2
금단,2
통인,2
밥알,2
빼야지,2
끊어도,2
느끼더라,2
청곡,2
거르면,2
설문지,2
이중인격,2
친해졌고,2
들어오시면서,2
치시고,2
이루어지면서,2
코뉴,2
엊그저껜,2
추스,2
실룩,2
걸릴지,2
다친다든지,2
긁는다,2
따르잖아요,2
줄어들었다,2
길더라고요,2
자구,2
도려,2
앉았,2
잡수지,2
고쳐줘,2
큰아,2
따졌지,2
꽂고서,2
창피해,2
동명이인,2
마주치려고,2
푼다고,2
내밀어,2
멀어지려고,2
밀어내고,2
몰골,2
유시시,2
캠코더,2
일사불란,2
때린,2
다니시던,2
봐주셔,2
써주겠다,2
긋고,2
펼치지,2
지존,2
영웅본색,2
졸작,2
군상,2
쫘악,2
에뮤,2
마오,2
간단다,2
크립,2
그리더라고요,2
짚어주는,2
엘링,2
신성,2
아라비아,2
가브리엘,2
만수르,2
에미레이츠,2
현석,2
키퍼,2
바이에른,2
스타디움,2
나단,2
미그,2
좁혀지지,2
다니겠지,2
들어서야,2
살리,2
미집,2
춥기만,2
걷겠다고,2
탔었어야,2
먹었었지,2
뺐잖아,2
일러는,2
집이어야,2
넣었어야,2
빨아들이는데,2
반영구,2
혈혈,2
단신,2
드러나는데,2
적거려,2
이러지도,2
저러지도,2
처진다거나,2
프루프,2
단벌,2
뭉쳐져서,2
그려져서,2
받아들일게,2
붙이는데,2
진달래꽃,2
파채,2
쏟아요,2
먹으면서는,2
담갔던,2
바케쓰,2
보우,2
디그,2
먹는지도,2
불러와,2
들어가더니,2
앓아도,2
치니까는,2
쟀는데,2
가지지도,2
살으니,2
깔만,2
시킬라고,2
대네,2
널린,2
남기기,2
튀길,2
속풀이,2
부려워,2
털어놓으면은,2
날렸지,2
받으니,2
하는데만,2
써놓고,2
차분해지고,2
학력고사,2
구구단,2
나발,2
사바,2
교육인,2
없앤다는,2
내실,2
익혀가면서,2
해왔다는,2
비꼬아서,2
이거거든,2
혜리,2
질금,2
줬더니만,2
뛰어오는,2
걸렸대,2
데려왔다고,2
데려왔어야,2
가느라고,2
먹였어,2
데려갔더니만,2
손품,2
딴판,2
주어지더라고요,2
보셨으면은,2
찾아봤다가,2
시키신,2
조과샤,2
강부자,2
장안,2
김국진,2
신성일,2
미니스커트,2
경해,2
보겠니,2
왔다고요,2
당겼다,2
살아났지,2
찾아온다고,2
부더,2
명중,2
유목생활,2
명예살인,2
종구,2
맹구,2
신물,2
폭탄주,2
나갔었습니다,2
들었습니다마는,2
왼데,2
떨어요,2
잠영,2
괴롭혔는데,2
찌르,2
괴롭히던,2
생각나시나요,2
꿈이었어서,2
따라가다가,2
하겠지라고,2
종민,2
김일,2
딘딘,2
틀어요,2
오고부터는,2
갔었죠,2
도레미파솔라시도,2
퇴보,2
송창식,2
졌구나,2
다이노스,2
마운드,2
만루,2
가르시아,2
이강철,2
알칸타라,2
손아섭,2
올라갈지,2
꺾이기,2
돌아오면서,2
키움에,2
빠졌지만,2
빡셀,2
의료기기,2
썼다가,2
믿은,2
방아깨비,2
피부염,2
씻겨주고,2
내려가잖아,2
오금,2
심리전,2
국집,2
작심,2
나왔습니다마는,2
해야겠습니다,2
나가죠,2
걸치게,2
도르,2
심정은,2
도어락,2
처단,2
덩케르크,2
맞나라고,2
채웠다,2
들어가기로,2
강불,2
스테이션,2
질렸다가,2
물어보시더라고요,2
질렸고,2
시켰다가,2
속초시,2
세인트존스,2
유유,2
물들지,2
해준,2
김지원,2
건축학개론,2
리플리,2
날아와서,2
젖으니까,2
가둬놓는,2
부딪힌다든지,2
날면은,2
자라나면은,2
억제시키는,2
물거든,2
아이거,2
나눴거든요,2
드러나게,2
끌렸던,2
바뀌겠죠,2
가치나,2
바뀌었을까,2
태어났던,2
보여져요,2
세이프,2
시부,2
들었니,2
끄든,2
마주치지,2
콘치,2
쓴데,2
치킨이고요,2
담겨서,2
잡는다면은,2
잡는다면,2
사랑받은,2
바라시는,2
나아갈까,2
이뤘고요,2
갔으면서도,2
바치,2
모였다가,2
썼더라도,2
미턴데,2
되었었어,2
조심해야겠구나,2
듣네,2
회한,2
싸졌는데,2
들어간지,2
넣었잖아,2
받아야만,2
벌겠니,2
넣었지,2
태어났나,2
다녔니,2
되라,2
트러스,2
동극,2
쌈디,2
기석,2
뿌릴,2
가더,2
치는구나,2
상암,2
왔음,2
굽혀라,2
겠냐,2
얻다,2
때리면은,2
느꼈잖아,2
가지면서도,2
어우러진다,2
검살,2
맞닥뜨릴,2
넘어가다,2
호스텔,2
구함,2
김천,2
월출산,2
떠났었거든요,2
낀데,2
내려오거든요,2
퀄리,2
뻘쭘하,2
살펴보지,2
말면은,2
염창,2
상정,2
바뀐다거나,2
널뛰기,2
수반,2
버신,2
국부,2
내리락,2
악재,2
휩싸여,2
났기,2
내려간다,2
가르쳐요,2
덤비,2
듣는다든지,2
허는,2
준비운동,2
먹어줬으면,2
뇨키,2
부드러움,2
어울렸다고,2
않다든,2
더하기,2
사는지가,2
뛰어놀아도,2
때렸는데,2
주워다,2
상심,2
지잖아요,2
돌보게,2
울었,2
다니느라,2
고래고래,2
낳으려면,2
태어난다고,2
걸리지가,2
낳았으니깐,2
메지,2
놨두,2
키웠었었어,2
닿지만,2
자랐어,2
할퀼,2
시키려,2
나또,2
꽈리,2
좋아졌잖아요,2
덜고,2
루스,2
떴었고,2
감사함으로,2
벌어라,2
스모,2
국문과,2
엠카,2
드드,2
노들강,2
부르나,2
부르고요,2
배우죠,2
조심한다,2
경황,2
새거를,2
찾으시는데,2
악조건,2
생존권,2
대였으니까,2
몰랐으면,2
달라고도,2
메이컨,2
유청,2
쪼금쪼금,2
덮어도,2
팔리는지,2
올려놨어,2
탔다는,2
사놓을,2
섞이는,2
이끌려서,2
훔쳐서,2
벗어났다고,2
거림,2
줄여주면,2
바꿨으니까,2
치우잖아,2
치우긴,2
빠져들기,2
닫히는,2
챠오,2
건달,2
헥헥거리,2
나오느라,2
끌린,2
데려왔으니까,2
건드리고,2
늙었구나,2
괴롭히지,2
데려왔거든,2
버리겠어,2
데려가게,2
맴돌고,2
긁을,2
박한데,2
운전대,2
전통주,2
사겠지만,2
없어졌잖아요,2
배두나,2
봤었는지,2
눕거나,2
철산동,2
양천,2
일미,2
할매,2
추워지기,2
올랐더라,2
괴력,2
맥과이어,2
커밍,2
쉬거라는,2
